"#","Reference","Qty","Value","Footprint","DNP"
"1","A1","1","TP4056","TP4056-mod:TP4056-mod",""
"2","BT1","1","Battery","Battery:BatteryHolder_MPD_BH-18650-PC2",""
"3","C1","1","100nF","Capacitor_SMD:C_0805_2012Metric",""
"4","C2","1","22uF","Capacitor_SMD:C_1206_3216Metric",""
"5","D1","1","1N5817","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"6","J1","1","TestPoint_2Pole","TestPoint:TestPoint_2Pads_Pitch2.54mm_Drill0.8mm",""
"7","R1, R4, R5, R6, R7, R8","6","10KR","Resistor_SMD:R_0805_2012Metric",""
"8","R2","1","1MR","Resistor_SMD:R_0805_2012Metric",""
"9","R3","1","300KR","Resistor_SMD:R_0805_2012Metric",""
"10","T1","1","RST","TestPoint:TestPoint_Pad_D1.5mm",""
"11","T2","1","FLSH","TestPoint:TestPoint_Pad_D1.5mm",""
"12","T3","1","RX","TestPoint:TestPoint_Pad_D1.5mm",""
"13","T4","1","TX","TestPoint:TestPoint_Pad_D1.5mm",""
"14","U1","1","DHT11","Sensor:Aosong_DHT11_5.5x12.0_P2.54mm",""
"15","U2","1","ESP-12F","RF_Module:ESP-12E",""
